canonical_id,nih_reporter_name,nih_reporter_ipf_code,org_city,org_state,org_country,canonical_name,ror_link,ror_id,grid_id,email_domains,openalex_link,openalex_id
us-mn-mayo-clinic-rochester,MAYO CLINIC ROCHESTER,4976101,ROCHESTER,MN,US,Mayo Clinic Rochester,https://ror.org/02qp3tb03,02qp3tb03,grid.66875.3a,mayo.edu,https://openalex.org/i1330342723,I1330342723
us-mo-university-of-missouri-columbia,UNIVERSITY OF MISSOURI-COLUMBIA,578002,COLUMBIA,MO,US,University of Missouri-Columbia,https://ror.org/02ymw8z06,02ymw8z06,grid.134936.a,missouri.edu,https://openalex.org/i76835614,I76835614
us-mo-saint-louis-university,SAINT LOUIS UNIVERSITY,7915401,SAINT LOUIS,MO,US,Saint Louis University,https://ror.org/01p7jjy08,01p7jjy08,grid.262962.b,slu.edu,https://openalex.org/i47838141,I47838141
us-mo-washington-university,WASHINGTON UNIVERSITY,9083901,SAINT LOUIS,MO,US,Washington University,https://ror.org/01yc7t268,01yc7t268,grid.4367.6,wustl.edu,https://openalex.org/i204465549,I204465549
us-mt-montana-state-university-bozeman,MONTANA STATE UNIVERSITY - BOZEMAN,1381004,BOZEMAN,MT,US,Montana State University Bozeman,https://ror.org/02w0trx84,02w0trx84,grid.41891.35,montana.edu,https://openalex.org/i23732399,I23732399
us-mt-university-of-montana,UNIVERSITY OF MONTANA,1381006,MISSOULA,MT,US,University of Montana,https://ror.org/0078xmk34,0078xmk34,grid.253613.0,montana.edu|umt.edu,https://openalex.org/i6750721,I6750721
us-nc-university-of-north-carolina-chapel-hill,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,578206,CHAPEL HILL,NC,US,University of North Carolina Chapel Hill,https://ror.org/0130frc33,0130frc33,grid.10698.36,unc.edu,https://openalex.org/i114027177,I114027177
us-nc-duke-university,DUKE UNIVERSITY,2221101,DURHAM,NC,US,Duke University,https://ror.org/00py81415,00py81415,grid.26009.3d,duke.edu,https://openalex.org/i170897317,I170897317
us-nc-east-carolina-university,EAST CAROLINA UNIVERSITY,578209,GREENVILLE,NC,US,East Carolina University,https://ror.org/01vx35703,01vx35703,grid.255364.3,ecu.edu,https://openalex.org/i186335123,I186335123
us-nc-north-carolina-state-university-raleigh,NORTH CAROLINA STATE UNIVERSITY RALEIGH,578204,RALEIGH,NC,US,North Carolina State University Raleigh,https://ror.org/04tj63d06,04tj63d06,grid.40803.3f,ncsu.edu,https://openalex.org/i137902535,I137902535
us-nc-research-triangle-institute,RESEARCH TRIANGLE INSTITUTE,6939101,RESEARCH TRIANGLE PARK,NC,US,Research Triangle Institute,https://ror.org/052tfza37,052tfza37,grid.62562.35,rti.org,https://openalex.org/i180297670,I180297670
us-nc-wake-forest-university-health-sciences,WAKE FOREST UNIVERSITY HEALTH SCIENCES,9021205,WINSTON-SALEM,NC,US,Wake Forest University Health Sciences,https://ror.org/0207ad724,0207ad724,grid.241167.7,wakehealth.edu|wfusm.edu,https://openalex.org/i47251452,I47251452
us-nd-university-of-north-dakota,UNIVERSITY OF NORTH DAKOTA,6093301,GRAND FORKS,ND,US,University of North Dakota,https://ror.org/04a5szx83,04a5szx83,grid.266862.e,und.edu,https://openalex.org/i24571045,I24571045
us-ne-creighton-university,CREIGHTON UNIVERSITY,1943701,OMAHA,NE,US,Creighton University,https://ror.org/05wf30g94,05wf30g94,grid.254748.8,creighton.edu,https://openalex.org/i114493937,I114493937
us-ne-university-of-nebraska-medical-center,UNIVERSITY OF NEBRASKA MEDICAL CENTER,578104,OMAHA,NE,US,University of Nebraska Medical Center,https://ror.org/00thqtb16,00thqtb16,grid.266813.8,unmc.edu,https://openalex.org/i59130452,I59130452
us-nh-dartmouth-college,DARTMOUTH COLLEGE,2021601,HANOVER,NH,US,Dartmouth College,https://ror.org/049s0rh22,049s0rh22,grid.254880.3,dartmouth.edu,https://openalex.org/i107672454,I107672454
us-nj-hackensack-university-medical-center,HACKENSACK UNIVERSITY MEDICAL CENTER,3117901,HACKENSACK,NJ,US,Hackensack University Medical Center,https://ror.org/008zj0x80,008zj0x80,grid.239835.6,hmh-cdi.org,https://openalex.org/i1324520350,I1324520350
us-nj-rutgers-new-jersey-medical-school,RBHS-NEW JERSEY MEDICAL SCHOOL,10034169,NEWARK,NJ,US,Rutgers New Jersey Medical School,https://ror.org/014ye1258,014ye1258,,njms.rutgers.edu|rutgers.edu,https://openalex.org/i4402554120,I4402554120
us-nj-rutgers-biomedical-and-health-sciences,RUTGERS BIOMEDICAL AND HEALTH SCIENCES,10034168,Newark,NJ,US,Rutgers Biomedical and Health Sciences,https://ror.org/029z02k15,029z02k15,,njms.rutgers.edu|rutgers.edu,https://openalex.org/i4390039302,I4390039302
us-nj-rutgers,"RUTGERS, THE STATE UNIVERSITY OF N.J.",1196203,PISCATAWAY,NJ,US,Rutgers,https://ror.org/05vt9qd57,05vt9qd57,grid.430387.b,rutgers.edu,https://openalex.org/i102322142,I102322142
us-nj-princeton-university,PRINCETON UNIVERSITY,6661401,Princeton,NJ,US,Princeton University,https://ror.org/00hx57361,00hx57361,grid.16750.35,princeton.edu,https://openalex.org/i20089843,I20089843
us-nm-university-of-new-mexico-health-sciences-center,UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CTR,10021612,ALBUQUERQUE,NM,US,University of New Mexico Health Sciences Center,https://ror.org/02jvjmd55,02jvjmd55,,salud.unm.edu,https://openalex.org/i4405255059,I4405255059
us-nv-university-of-nevada-reno,UNIVERSITY OF NEVADA RENO,829903,RENO,NV,US,University of Nevada Reno,https://ror.org/01keh0577,01keh0577,grid.266818.3,unr.edu,https://openalex.org/i134113660,I134113660
